48 solutions found!
Solution #1: 6*(3-(6-7))
Solution #2: 6*((3-6)+7)
Solution #3: 6*(3+(7-6))
Solution #4: 6*((3+7)-6)
Solution #5: ((6/6)+7)*3
Solution #6: 6*(7+(3-6))
Solution #7: 6*((7+3)-6)
Solution #8: (6*7)-(3*6)
Solution #9: 6*(7-(6-3))
Solution #10: 6*((7-6)+3)
Solution #11: (6*7)-(6*3)
Solution #12: 3*((6/6)+7)
Solution #13: (3-(6-7))*6
Solution #14: ((3-6)+7)*6
Solution #15: 3*((6/6)+7)
Solution #16: (3-(6-7))*6
Solution #17: ((3-6)+7)*6
Solution #18: 3*(7+(6/6))
Solution #19: (3+(7-6))*6
Solution #20: ((3+7)-6)*6
Solution #21: 3*(7+(6/6))
Solution #22: (3+(7-6))*6
Solution #23: ((3+7)-6)*6
Solution #24: ((6/6)+7)*3
Solution #25: 6*(3-(6-7))
Solution #26: 6*((3-6)+7)
Solution #27: 6*(3+(7-6))
Solution #28: 6*((3+7)-6)
Solution #29: 6*(7-(6-3))
Solution #30: 6*((7-6)+3)
Solution #31: (6*7)-(6*3)
Solution #32: 6*(7+(3-6))
Solution #33: 6*((7+3)-6)
Solution #34: (6*7)-(3*6)
Solution #35: (7*6)-(3*6)
Solution #36: (7-(6-3))*6
Solution #37: ((7-6)+3)*6
Solution #38: (7*6)-(6*3)
Solution #39: (7+(6/6))*3
Solution #40: (7+(3-6))*6
Solution #41: ((7+3)-6)*6
Solution #42: (7+(3-6))*6
Solution #43: ((7+3)-6)*6
Solution #44: (7*6)-(6*3)
Solution #45: (7+(6/6))*3
Solution #46: (7*6)-(3*6)
Solution #47: (7-(6-3))*6
Solution #48: ((7-6)+3)*6
